
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2025-08-11 14:58:37 /theme/update ................................ ~ 0.13ms
  2025-08-11 14:58:37 /dashboard ................................... ~ 0.03ms
  2025-08-11 14:58:37 /theme/update ................................ ~ 0.12ms
  2025-08-11 14:58:37 /dashboard ................................. ~ 500.99ms
  2025-08-11 15:00:16 /settings/profile ............................ ~ 0.13ms
  2025-08-11 15:00:16 /build/assets/profile-BzlBkwt3.js ............ ~ 0.17ms
  2025-08-11 15:00:16 /build/assets/layout-DnNfTo-Z.js ............. ~ 0.58ms
  2025-08-11 15:00:16 /build/assets/transition-Dzi5JDOZ.js ......... ~ 1.05ms
  2025-08-11 15:00:17 /settings/password ........................... ~ 0.12ms
  2025-08-11 15:00:20 /build/assets/password-DmQs9i8d.js ........... ~ 0.13ms
  2025-08-11 15:00:21 /settings/appearance ......................... ~ 0.14ms
  2025-08-11 15:00:21 /build/assets/appearance-CGF1uGBB.js ......... ~ 0.08ms
  2025-08-11 15:00:26 /dashboard ................................... ~ 0.17ms
  2025-08-11 15:02:01 /dashboard ................................... ~ 0.23ms
  2025-08-11 15:02:01 /favicon.ico ..................................... ~ 2s
  2025-08-11 15:02:50 /dashboard ................................... ~ 0.13ms
  2025-08-11 15:02:50 /build/assets/app-CCO4AVMv.css ............... ~ 0.07ms
  2025-08-11 15:02:50 /build/assets/dashboard-Yrr-8WWB.js .......... ~ 0.43ms
  2025-08-11 15:02:50 /build/assets/theme-toggle-CV8LASwX.js ....... ~ 0.66ms
  2025-08-11 15:02:50 /build/assets/app-layout-3DPnH8Ms.js ......... ~ 0.83ms
  2025-08-11 15:02:50 /build/assets/dropdown-menu-CG0-XRSW.js ...... ~ 1.02ms
  2025-08-11 15:02:50 /build/assets/app-C0TrEV3v.js ................ ~ 1.22ms
  2025-08-11 15:02:50 /build/assets/createLucideIcon-CmMSEAZI.js ... ~ 0.13ms
  2025-08-11 15:02:50 /build/assets/app-CCO4AVMv.css ............... ~ 0.05ms
  2025-08-11 15:02:51 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.35ms
  2025-08-11 15:02:51 /favicon.svg ................................. ~ 0.55ms
  2025-08-11 15:02:51 /favicon.ico ................................. ~ 0.04ms
  2025-08-11 15:04:20 /dashboard ................................. ~ 500.41ms
  2025-08-11 15:04:20 /build/assets/app-CCO4AVMv.css ............... ~ 0.07ms
  2025-08-11 15:04:20 /build/assets/app-C0TrEV3v.js ................ ~ 0.55ms
  2025-08-11 15:04:20 /build/assets/dashboard-Yrr-8WWB.js .......... ~ 1.05ms
  2025-08-11 15:04:20 /build/assets/theme-toggle-CV8LASwX.js ....... ~ 1.44ms
  2025-08-11 15:04:20 /build/assets/app-layout-3DPnH8Ms.js ......... ~ 2.28ms
  2025-08-11 15:04:20 /build/assets/dropdown-menu-CG0-XRSW.js ...... ~ 2.68ms
  2025-08-11 15:04:20 /build/assets/createLucideIcon-CmMSEAZI.js . ~ 500.41ms
  2025-08-11 15:04:20 /build/assets/app-CCO4AVMv.css ............... ~ 0.30ms
  2025-08-11 15:04:21 /favicon.svg ................................. ~ 0.06ms
  2025-08-11 15:04:21 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.99ms
  2025-08-11 15:04:21 /favicon.ico ............................... ~ 500.32ms
  2025-08-11 15:04:24 /build/assets/app-CCO4AVMv.css ............... ~ 0.14ms
  2025-08-11 15:04:24 /.well-known/appspecific/com.chrome.devtools.json  ~ 0.52ms
  2025-08-11 15:04:24 /build/assets/app-CCO4AVMv.css ............... ~ 0.43ms
  2025-08-11 15:08:04 /dashboard ................................... ~ 0.15ms
  2025-08-11 15:08:04 /build/assets/dashboard-D1YBeyQM.js ........ ~ 500.38ms
  2025-08-11 15:08:04 /build/assets/app-DE2WfZp_.css ............. ~ 500.65ms
  2025-08-11 15:08:04 /build/assets/app-layout-B1i0UB4H.js ....... ~ 501.20ms
  2025-08-11 15:08:04 /build/assets/app-Dl4j_wrL.js .............. ~ 501.40ms
  2025-08-11 15:08:04 /build/assets/theme-toggle-GpmWd0um.js ..... ~ 501.69ms
  2025-08-11 15:08:04 /build/assets/createLucideIcon-Csp2JLYe.js . ~ 501.84ms
  2025-08-11 15:08:04 /.well-known/appspecific/com.chrome.devtools.json  ~ 0.03ms
  2025-08-11 15:08:05 /build/assets/app-DE2WfZp_.css ............... ~ 0.03ms
  2025-08-11 15:08:05 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.13ms
  2025-08-11 15:08:05 /favicon.svg ................................. ~ 0.03ms
  2025-08-11 15:08:05 /favicon.ico ............................... ~ 500.46ms
  2025-08-11 15:08:43 /settings/profile ............................ ~ 0.13ms
